name,latitude,longitude,#
محطة العمار,25.2220452099359,45.2835014534066,1
محطة الجلال للمحروقات,25.23523,45.23975,2
محطة الدريس,25.58874,45.62918,3
محطة أباحسين,25.58293,45.70708,4
محطة الوهيبي,25.39886,45.8476,5
محطه بترولي التويم,25.71446,45.6101,6
محطة العصيمي,24.73284,44.76761,7
الدريس,25.86948,45.39616,8
محطة العتش,25.52649,45.94671,9
محطة الدريس,25.69668,45.89576,10
محطة حمد المقرن,25.11064,46.18589,11
محطه,25.34759,46.20327,12
محطة بترو سما,26.05368,45.00043,13
محامص ومطاحن مذ اق كيف الجنوب,26.07938,49.31299,14
محطة المهداني للوقود,25.16497,46.33357,15
محطة اسكان الكلية الحربية,24.93436,46.37123,16
محطة وقود,25.04902,46.40252,17
الدبوس المثبّت,25.50674,44.15267,18
محطة بترولينا,24.49562,44.39104,19
محطة قلف Gulf ST,24.49281,44.36922,20
محطه هلا,25.01306,46.46131,21
محطة اوتك,24.8935,46.43803,22
محطة السلمان,26.26754,44.82522,23
الدريس,24.0754498368857,45.317082976351,24
محطة بتروزد للخدمات البترولية,24.07546,45.31708,25
محطة الدريس,26.28703,44.82441,26
محطة الدوار,25.8550589244139,44.2148961900503,27
محطة الثويرات,26.2995143937108,44.834974717824,28
محطة السكران للمحروقات,25.85506,44.21489,29
ساسكو,25.87931,44.20403,30
الدعفس للخدمات البترولية,26.30652,44.79599,31
محطة العضيبي,25.8927,44.20532,32
محطة المملكة,26.31503,44.79079,33
محطة ركن الشلال للمحروقات,24.44801,46.2652,34
ويل لخدمات البترولية,24.99728,46.56067,35
محطة اجزالا,24.4911342722554,46.3258618883762,36
محطة ويل ديزل و بنزين,24.8815454623348,46.5873608466589,37
ويل,24.8757042791499,46.5900202055546,38
الدريس,24.8296,46.57548,39
بترول البركة,24.85793,46.59768,40
محطة جي أويل,24.78081,46.57059,41
بترو ستار,24.85338,46.59995,42
الدريس,24.91021,46.61889,43
ساسكو,24.8387937275661,46.596961693898,44
محطة الدريس ديزل بنزين,24.8153735293026,46.5887019503366,45
محطة بنزين 2 (حي العارض ),24.8508523873065,46.6030044233458,46
محطة نوي,24.8990404465368,46.6184694233458,47
محطه ابار النفط,24.8651369286675,46.6100477822415,48
لتر,24.7669686866886,46.5770276233458,49
Alshamal,24.856099052361,46.6105967994198,50
سهل,24.8414428681167,46.6073223307065,51
محطة الادريس وقود,24.8256174754974,46.6028089472719,52
محطة وقود,24.8352583029107,46.6103576205867,53
محطة بترومين,24.5440288828233,46.4672749718108,54
محطة درر الشاملة,24.7469829609309,46.5855135172111,55
ديزل الحجاز,24.5517580645134,46.4844895116893,56
محطة وقود,24.63887,46.54015,57
محطة جبل كساب,24.65054,46.56005,58
محطة نفط,24.79177,46.62464,59
نصار,24.72722,46.59904,60
محطة بترولات الساند,24.02846,45.8817,61
ساسكو,24.57169,46.52431,62
محطة الحفنة,25.66255,46.6289,63
محطة بترولات,24.63286,46.56368,64
ديزل لبن بترولات,24.65412,46.5787,65
الدريس,25.07501,46.71165,66
الدريس,24.56101,46.54032,67
ساسكو,24.89031,46.69318,68
الدبوس المثبّت,24.8881,46.69659,69
الدريس,24.77992,46.66382,70
الدريس,24.68734,46.63618,71
الدريس,24.80017,46.69734,72
ساسكو,24.57221,46.59398,73
الدريس,24.8043751087474,46.7065973055546,74
الدبوس المثبّت,24.5751200049057,46.6017244116893,75
الدريس,24.7815010427806,46.7066202116893,76
الدبوس المثبّت,24.8466502618265,46.7337574822415,77
محطة لتر,24.7659,46.70721,78
محطه وقود,25.94544,46.57893,79
محطة وقود,24.79546,46.74307,80
ADNOC,26.07163,44.02259,81
الدريس,24.8058331261896,46.7551786110764,82
محطة الدريس,24.8100782294099,46.7659776632243,83
محطة قلف بالشماسية GUlf,26.3119372800377,44.2583622000328,84
Break,26.2009365975193,44.1273192055546,85
محطة سهل,24.84677,46.78212,86
محطة نفط,24.80355,46.76862,87
محطة الدريس,26.32019,44.26443,88
محطة الأقمار للمحروقات,24.42197,46.57199,89
محطة سفن بلس,26.06164,43.99268,90
محطة الدريس,26.0926,44.01447,91
SASCO,24.84164,46.79018,92
نخلة ساسكو,24.82037,46.78646,93
Benzene station محطة بنزين,24.81978,46.78893,94
الدريس,24.70128,46.74589,95
الدبوس المثبّت,24.66296,46.73044,96
سهل,24.61547,46.70989,97
محطة محروقات,24.72476,46.75996,98
ساسكو,24.5476956414342,46.6752530110655,99
محطة,24.5670518931354,46.6876422583045,100
الدريس,24.7714194911476,46.7806704294693,101
محطة القافلة بنزين و ديزل,26.0656389929464,43.9669160405133,102
SASCO,26.10643,43.99789,103
محطة تل الضباب للخدمات البترولية,26.11598,43.99823,104
Al,26.11811,43.99979,105
الدريس,24.59519,46.72298,106
محطة الجفن,24.743207479815,46.7904812914278,107
نفط,24.7432,46.79054,108
محطة وقود,24.58982,46.72757,109
SASCO,24.70474,46.7815,110
محطة سهل Sahel Gasoline station,24.73527,46.79375,111
الدريس,24.83656,46.83668,112
SASCO,26.21724,44.06166,113
SASCO,26.23107,44.07438,114
محطة اسياء,24.54292,46.71658,115
محطه سهل,24.58835,46.74229,116
محطة لترR033|Liter Gas Station,23.78961,45.72769,117
محطة وقود,24.60199,46.75005,118
الدريس,24.55671,46.72682,119
العزيزية,24.60074,46.75041,120
محطة GO,24.85774,46.85111,121
محطة لترG052|Liter Gas Station,23.7895963278742,45.7276970260493,122
محطة الدريس,26.21715,44.05375,123
عالم المساندة للمحروقات,24.59298,46.74981,124
الدريس,26.1242475262199,43.9622880380052,125
محطة العزيزية شركة بنزين المحدوده,24.5831245309235,46.7529682178342,126
